"bin.taxa.name","bins","kingdom","phylum","class","order","family","genus","species","DCO_LLO_Bv4v5..QHF2_QH170212_2","DCO_LLO_Bv4v5..QHS2_QH170213_2","DCO_LLO_Bv4v5..BQS_BQ170220","DCO_LLO_Bv4v5..SIF_SI170217","DCO_LLO_Bv4v5..ESF9_ES_F9","DCO_LLO_Bv4v5..SIS_SI170217","DCO_LLO_Bv4v5..EPF_EP170215","DCO_LLO_Bv4v5..RSS_RS170216","DCO_LLO_Bv4v5..RSF_RS170216","DCO_LLO_Bv4v5..EPS_EP170215","DCO_LLO_Bv4v5..SLS_SL170214_S","DCO_LLO_Bv4v5..BRS1_BR170218_1","DCO_LLO_Bv4v5..BRS2_BR170218_2","DCO_LLO_Bv4v5..FAS_FA170219","DCO_LLO_Bv4v5..BRF1_BR170218_1","DCO_LLO_Bv4v5..BRF2_BR170218_2","DCO_LLO_Bv4v5..MTF_MT170219","DCO_LLO_Bv4v5..CYF_CY170214","DCO_LLO_Bv4v5..SLF_SL170214","DCO_LLO_Bv4v5..BQF_BQ170220","DCO_LLO_Bv4v5..QNF_QN170220","DCO_LLO_Bv4v5..QNS_QN170220","DCO_LLO_Bv4v5..CYS_CY170214","DCO_LLO_Bv4v5..ETS_ET170220","DCO_LLO_Bv4v5..RVF_RV170221","DCO_LLO_Bv4v5..TCF_TC170221","DCO_LLO_Bv4v5..TCS_TC170221_2","cluster"
"bin_101, Bacteria, Chloroflexota, Anaerolineae, Thermoflexales","bin_101","Bacteria","Chloroflexota","Anaerolineae","Thermoflexales","","","",0,0,0.116473412,1.731042712,2.810208689,46.7363211,0.105830684,0.114276418,0.250749294,0.074090937,4.747092547,0.247713766,2.441348716,5.09848927,0.593981319,0.536682515,0.11335913,0.096029412,0.905390057,0,0.121364426,0.039976,0.204495692,0.172627327,0.164983307,0.176140613,0.081868651,2
"bin_21, Bacteria, KSB1, UBA2214, UBA2214","bin_21","Bacteria","KSB1","UBA2214","UBA2214","","","",0,0,0.044525385,0,0,0,0,0,0.062649672,0,0.046173297,0,0.032183883,0,0,0,0,0,0.381774016,0,0.103789109,0,6.077538752,158.9840235,0.092133838,0.125699861,0,2
"bin_282, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, junii","bin_282","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","junii",0,0,0,1.078739456,2.432904626,0,0,0,0,0,0,0,0,0,0.277883501,969.0402298,20.96710698,0,0,0,13.29630056,0,0,0.042482908,838.2213778,19.6685523,0,2
"bin_300, Bacteria, Acidobacteriota, Acidobacteriae, UBA7541, 2~02~FULL~67~57","bin_300","Bacteria","Acidobacteriota","Acidobacteriae","UBA7541","2~02~FULL~67~57","","",0,0,0,0.038291235,0.068250146,0.06574602,0.066211892,0.111783719,0.21244904,0.08084944,0.05071419,0,20.3101059,0.091738101,0.131618552,0.525219933,0.074009946,0.030123117,0.463537111,0,0.239373498,0.098797923,0.992495304,0.268826879,0.077315965,0.22484386,0.055490661,2
"bin_171, Bacteria, Planctomycetota, Planctomycetes, Planctomycetales, Planctomycetaceae","bin_171","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Planctomycetaceae","","",0,0,0,0.056098081,0.120202789,0.118814437,0.118899398,0.181428734,0.278712344,0.134191706,0.030502414,0,0.764232358,0.340275255,0.152063082,0.259812268,0.22383936,0.476301316,0.742801577,0,0.654703704,0.070459716,1.932017835,0.26926907,0.073866506,0.875326886,0.054861705,2
"bin_374, Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Nitrososphaera","bin_374","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","",0,0,0,0,0,0,0,0.049398651,0.095423915,0.032057589,0.037296704,0,0.218320803,0,0,0.085748854,0.084702555,0,0.050366618,0,0,0,0.221396879,184.7938284,0.115986602,0.222397638,0,2
"bin_155, Bacteria, UBP10, GR~WP33~30, UTPRO1","bin_155","Bacteria","UBP10","GR~WP33~30","UTPRO1","","","",0,0,0,0,0,0,0.04517383,0.037908897,0.085505841,0.037114921,0.221081695,0,45.01009934,11.87949929,0.085451185,4.472824014,0.048727098,0.081318115,0.246538106,0,0.085812213,0.031538701,2.877321066,9.61395175,1.605847412,0.083448293,0,2
"bin_370, Bacteria, Chloroflexota, Dehalococcoidia, SM23~28~2, SM23~28~2","bin_370","Bacteria","Chloroflexota","Dehalococcoidia","SM23~28~2","SM23~28~2","","",0,0,0,0.032986043,0.069989525,0.094227651,0.088353247,0.177102671,0.294383269,0.151561407,0.056842843,0.125830395,0.161060509,0.164729955,0.107919427,0.077935816,0.116257059,0.081932295,0.982186791,0,0.453202127,0.088171804,0.787742665,58.36293884,0.164778862,0.407429538,0.046111691,2
"bin_221, Bacteria, Acidobacteriota, Acidobacteriae, Solibacterales, Solibacteraceae","bin_221","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","","",0,0,0.057168532,0.046468942,0.111518056,0.114266428,0.112115023,0.194365109,0.30792428,0.160590704,3.083181428,0.344910779,18.01132183,3.480867144,0.142243044,1.678100925,0.19351351,0.064949955,1.17655211,0,0.241911274,0.11961064,0.856545246,0.431329213,0.073420197,0.513261518,0.202707459,2
"bin_63, Bacteria, Bipolaricaulota, Bipolaricaulia, RBG~16~55~9, RBG~16~55~9","bin_63","Bacteria","Bipolaricaulota","Bipolaricaulia","RBG~16~55~9","RBG~16~55~9","","",0,0.034116118,0,0,0,0.066321726,0.332075893,0,0.176630517,0.141347132,0.105587355,0.087433134,0.441999671,0.845385173,0.075217024,0.073289177,0.031224896,0.046075866,0.122733017,0,0.047483612,0,0.164825145,0.059236704,0,0.085765407,0,2
