organism,16s,23s,5s,alanine,arginine,asparagine,asparticacid,cysteine,glutamicacid,glutamine,glycine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine
bin_249,1.0,1.0,,3.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_25,,,,1.0,2.0,,1.0,,1.0,1.0,3.0,1.0,,2.0,,2.0,,1.0,3.0,,1.0,1.0,2.0
bin_250,,,,2.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,,5.0,2.0,2.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_251,1.0,1.0,1.0,3.0,5.0,,1.0,,2.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,2.0,5.0,3.0,1.0,1.0,3.0
bin_252,,,,3.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_253,,,1.0,2.0,3.0,,,,2.0,,2.0,1.0,1.0,2.0,1.0,2.0,,2.0,1.0,2.0,,1.0,2.0
bin_254,,,,2.0,4.0,1.0,2.0,,1.0,1.0,2.0,1.0,,3.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0
bin_255,,,1.0,1.0,4.0,1.0,,1.0,,1.0,1.0,1.0,,5.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,,2.0
bin_256,,,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,,,5.0,3.0,2.0,1.0,3.0,5.0,2.0,1.0,1.0,3.0
bin_257,1.0,,1.0,1.0,4.0,1.0,,,1.0,1.0,1.0,1.0,,3.0,2.0,1.0,,3.0,3.0,2.0,,1.0,2.0
bin_258,1.0,,1.0,2.0,5.0,,1.0,1.0,1.0,3.0,3.0,1.0,,5.0,1.0,3.0,1.0,2.0,5.0,3.0,1.0,1.0,3.0
bin_259,2.0,1.0,,3.0,5.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,4.0,3.0,1.0,2.0,3.0
bin_26,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,,1.0,5.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0
bin_260,1.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_261,1.0,,1.0,,6.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,,4.0,1.0,1.0,,4.0,5.0,3.0,,,3.0
bin_262,,,,2.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_263,1.0,,1.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,6.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,4.0
bin_264,,,,3.0,6.0,,1.0,1.0,1.0,1.0,3.0,1.0,,5.0,1.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_265,1.0,,1.0,4.0,4.0,1.0,,1.0,2.0,1.0,8.0,1.0,,5.0,2.0,2.0,1.0,2.0,6.0,4.0,2.0,1.0,2.0
bin_266,,,1.0,1.0,4.0,1.0,,1.0,1.0,2.0,3.0,1.0,,5.0,2.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0
bin_267,,,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,5.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0
bin_268,,,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,2.0,2.0,1.0,3.0,5.0,1.0,1.0,,3.0
bin_269,,,,3.0,7.0,1.0,5.0,3.0,3.0,4.0,7.0,2.0,,6.0,,3.0,2.0,4.0,3.0,6.0,1.0,1.0,4.0
bin_27,1.0,,1.0,3.0,6.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,4.0,1.0,3.0,5.0,4.0,1.0,1.0,3.0
bin_270,,,1.0,2.0,3.0,,1.0,1.0,1.0,2.0,2.0,1.0,,5.0,2.0,2.0,1.0,3.0,3.0,3.0,,1.0,2.0
bin_271,,,,2.0,3.0,1.0,1.0,1.0,,1.0,2.0,,,4.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0
bin_272,1.0,1.0,1.0,4.0,8.0,3.0,3.0,3.0,4.0,4.0,5.0,1.0,2.0,7.0,4.0,6.0,2.0,5.0,5.0,4.0,2.0,1.0,5.0
bin_273,,,1.0,2.0,2.0,1.0,,2.0,,1.0,2.0,,,4.0,1.0,1.0,1.0,3.0,2.0,2.0,,1.0,3.0
bin_274,,,1.0,1.0,5.0,,1.0,,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,,3.0,5.0,,,,2.0
bin_275,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,5.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_276,1.0,,,3.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,3.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_277,1.0,,1.0,2.0,5.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,,6.0,2.0,3.0,1.0,4.0,5.0,3.0,1.0,,3.0
bin_278,1.0,,,2.0,7.0,,2.0,1.0,1.0,2.0,3.0,1.0,3.0,6.0,4.0,2.0,1.0,3.0,7.0,3.0,1.0,1.0,4.0
bin_279,2.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,6.0,2.0,4.0,1.0,4.0,4.0,3.0,1.0,1.0,3.0
bin_28,2.0,1.0,,2.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_280,,,1.0,3.0,4.0,1.0,,1.0,,,5.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,1.0,2.0,,2.0
bin_281,1.0,,1.0,3.0,4.0,,,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0
bin_282,1.0,1.0,2.0,2.0,6.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,1.0,5.0,2.0,6.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0
bin_283,1.0,,1.0,1.0,4.0,,1.0,1.0,1.0,1.0,3.0,1.0,,5.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0
bin_284,1.0,1.0,,3.0,3.0,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0
bin_285,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,4.0,1.0,2.0,,,1.0,2.0,1.0,1.0,2.0
bin_286,1.0,,,2.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_287,1.0,,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0
bin_288,1.0,,,2.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,5.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0
bin_289,,,,2.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,5.0,2.0,3.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0
