"bin.taxa.name","bins","kingdom","phylum","class","order","family","genus","species","DCO_LLO_Bv4v5..QHF2_QH170212_2","DCO_LLO_Bv4v5..QHS2_QH170213_2","DCO_LLO_Bv4v5..BQS_BQ170220","DCO_LLO_Bv4v5..SIF_SI170217","DCO_LLO_Bv4v5..ESF9_ES_F9","DCO_LLO_Bv4v5..SIS_SI170217","DCO_LLO_Bv4v5..EPF_EP170215","DCO_LLO_Bv4v5..RSS_RS170216","DCO_LLO_Bv4v5..RSF_RS170216","DCO_LLO_Bv4v5..EPS_EP170215","DCO_LLO_Bv4v5..SLS_SL170214_S","DCO_LLO_Bv4v5..BRS1_BR170218_1","DCO_LLO_Bv4v5..BRS2_BR170218_2","DCO_LLO_Bv4v5..FAS_FA170219","DCO_LLO_Bv4v5..BRF1_BR170218_1","DCO_LLO_Bv4v5..BRF2_BR170218_2","DCO_LLO_Bv4v5..MTF_MT170219","DCO_LLO_Bv4v5..CYF_CY170214","DCO_LLO_Bv4v5..SLF_SL170214","DCO_LLO_Bv4v5..BQF_BQ170220","DCO_LLO_Bv4v5..QNF_QN170220","DCO_LLO_Bv4v5..QNS_QN170220","DCO_LLO_Bv4v5..CYS_CY170214","DCO_LLO_Bv4v5..ETS_ET170220","DCO_LLO_Bv4v5..RVF_RV170221","DCO_LLO_Bv4v5..TCF_TC170221","DCO_LLO_Bv4v5..TCS_TC170221_2","cluster"
"bin_157, Bacteria, Chloroflexota, Anaerolineae","bin_157","Bacteria","Chloroflexota","Anaerolineae","","","","",0,0,0,0,0,0.040052856,0.042725214,0.042120995,0.092127098,0.030464219,28.14947716,0.04387779,1.54296224,0.186818833,0.08513367,0.762946861,0.068973633,0,0.594005988,0,0.034489813,0,0.064321408,0.067428547,0,0.063139813,0.048096776,1
"bin_192, Bacteria, Spirochaetota, Leptospirae, Leptospirales","bin_192","Bacteria","Spirochaetota","Leptospirae","Leptospirales","","","",0,0,0,0,0,0,0,0,0,0,0.311971082,3.605077089,0.438219643,0.544692217,8.152929906,0.34450471,10.99643885,6.734569742,2.222383116,0,0,0,0.183371287,0,0.127323018,12.72098688,12.63261002,1
"bin_29, Archaea, Crenarchaeota, Nitrososphaeria, Caldiarchaeales","bin_29","Archaea","Crenarchaeota","Nitrososphaeria","Caldiarchaeales","","","",0,0,0,0,0,0,0,0,0,0,34.96815122,0.581733438,0.380815559,0.398417889,0.333969948,0.62857859,5.790150995,0,1.349435902,0,0,0,0,0,0,0.034730302,0,1
"bin_70, Archaea, Nanoarchaeota, Woesearchaeia, SM23~78","bin_70","Archaea","Nanoarchaeota","Woesearchaeia","SM23~78","","","",0,0,0,0,0,0,0,0,0.046313396,0,2.261922307,0.056926846,12.40743401,3.654421625,0.271746745,3.473511037,0.147806563,0,7.859792925,0,0,0,0,0,0,0.040615601,0,1
"bin_142, Bacteria, FirmicutesH, CSP1~3, CSP1~3, CSP1~3, CSP1~3","bin_142","Bacteria","FirmicutesH","CSP1~3","CSP1~3","CSP1~3","CSP1~3","",0,0,0,0.040004364,0.097194013,0.11939487,0.234867366,0.219248427,0.432720778,0.221189929,2.975107335,7.295911047,11.5968294,13.11617706,0.621600132,2.715799716,0.299209057,0.098460009,1.4932819,0,0.281874507,0.103318737,0.621602463,0.558558423,0.095329457,0.267702603,0.053358115,1
"bin_397, Bacteria, Bipolaricaulota, Bipolaricaulia, RBG~16~55~9","bin_397","Bacteria","Bipolaricaulota","Bipolaricaulia","RBG~16~55~9","","","",0,0,0,0,0,0,0.030576377,0,0,0,12.20176104,0.255402353,0.402088624,21.52030613,0.350843039,0.11881457,1.440938246,5.363865866,8.456866591,0,0,0,1.263067121,0.038011164,0.104934243,7.755085851,1.826182149,1
"bin_388, Archaea, Nanoarchaeota, Aenigmarchaeia, CG10238~14","bin_388","Archaea","Nanoarchaeota","Aenigmarchaeia","CG10238~14","","","",0,0,0,0,0,0,0,0,0.033986902,0,40.15141151,0.28733847,0.647867741,0.169121367,0.992872624,2.102430046,6.668719382,0.043816351,1.493731228,0,0,0,0,0,0.090248332,0.04797739,0,1
"bin_299, Bacteria, Nitrospirota, Thermodesulfovibrionia, Thermodesulfovibrionales, SM23~35","bin_299","Bacteria","Nitrospirota","Thermodesulfovibrionia","Thermodesulfovibrionales","SM23~35","","",0,0,0,0,0,0.047476704,0.044831436,0,0.132238839,0.035826283,31.51950927,0.111844621,3.977564443,3.037746322,0.53323887,5.619154842,2.337426705,0.170732171,2.767168714,0,0.031955171,0,0.124518746,0,0.052831108,0.141609795,0.04452629,1
"bin_30, Archaea","bin_30","Archaea","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0.047919747,0,0.102861031,0,0,0,0,0,0,0,0,21.31152934,0.040338978,0,1
"bin_385, Bacteria, Myxococcota, XYA12~FULL~58~9","bin_385","Bacteria","Myxococcota","XYA12~FULL~58~9","","","","",0,0,0,0,0,0,0,0,0,0,0.977646078,0.043501871,10.27031418,1.132459935,0.24415092,6.742441624,2.435842391,1.493397537,1.303184449,0,0,0,0,0,0.621847885,3.164105009,1.13030594,1
