Reference Contig,TCS,TC,SLS,SL,SIS,SI,RVF,RSS,RS,QNS,QN,QHS2,QHS1,QH2,PLS,PGS,PG,PFS,PF,PBS,MTF,FAS,ETS,ESF9,EPS,EP,CYS,CY,BRS2,BRS1,BRF2,BRF1,BR1,BQS,BQ,BQF,ARS
BDEAIJED_01467,0,0.102253495,0,0.157115766,0.062854636,0.375534229,0,0,0.161500866,2.873527131,0.983020367,0,0,0,0,0.03305515,0,0.532569547,4.440014295,0,0.036973619,0,0,0.792586784,0.064191348,0.489321415,0.115568988,0.363028603,0,0,0.241285941,0.049649027,0.038583212,0,0,0,0
BDEAIJED_01468,0,0,0,0,0,0,0,0,0,2.426623355,0.062683788,0,0,0,0,0,0,0.566001776,4.040567323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDEAIJED_01469,0,0.073364031,0,0.084544636,0,0.220447096,0,0.085556416,0,2.59102474,1.110831286,0,0,0.038310781,0,0,0,0.382103801,5.57077432,0,0,0,0,0.597091866,0,0,0.082917527,0,0,0,0.086557968,0,0,0,0,0,0
BDEAIJED_01470,0,0,0,0,0,0,0,0,0,1.837586249,0.136819421,0,0,0,0,0,0,0,4.099118339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDEAIJED_01471,0,0,0,0,0,0,0,0,0,2.204255709,0,0,0,0,0,0,0,0.335901707,4.052841899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDEAIJED_01634,0.106408815,0.401388294,0,0.770932444,0,9.849875138,0.088850554,0.468095101,0.443771533,5.525583378,2.218793598,0.14337294,0,0.034934237,0.491549816,0.162194339,0.041579311,3.397161845,3.897425716,0,0.653117045,0,0,9.567059835,0.293974614,0.548798255,0.226828624,0,0,0.075235377,0.315716519,2.436168342,0.378638641,0,0,0,0
BDEAIJED_01816,0,0,0,0,0,0,0,0,0,1.414519061,0,0,0,0,0,0,0,0.170175368,4.534284625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDEAIJED_01819,0,0,0,0,0,0,0,0,0,1.686255617,0,0,0,0,0,0,0,0.513929612,1.421027691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDEAIJED_01902,0,0.06470467,0,0,0,0,0,0.075457953,0,2.248340823,0.279919078,0,0,0,0,0,0,0.252752268,4.066129905,0,0,0,0,0.075230778,0,0,0,0,0,0,0,0,0,0,0,0,0
BDEAIJED_01903,0,0,0,0,0,0,0,0,0,0.725271233,0,0,0,0,0,0,0,0,3.542151136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDEAIJED_01904,0,0.476688996,0,0.329601552,1.230675546,0.95491576,0,0.222364018,0,1.955078976,1.649764616,0.102161878,0,0.149356522,0,0,0.118511078,1.737926226,4.118920843,0,0.206837926,0,0,1.108472822,0.239399616,0.293288923,0.377134548,0.451301258,0.204915662,0,0.112483542,1.388733644,0.215842317,0,0,0,0
BDEAIJED_01905,0.416689387,2.357712212,0,0.805044499,2.03971636,4.72303025,0.695864958,0.509174244,0.165502658,2.686070895,3.462863228,0.561438283,0.035877333,0.5928,0.10693746,0.381084929,0,0.795908692,4.801541675,0.307943214,0.473622242,0,0.524205447,4.061130515,3.343914773,1.074527557,0.493469352,0.310020001,0.187688239,0,1.545404422,2.416765231,0.494240703,0,0,0,0.333576719
EFJFCEGH_00544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.323576407,0.352693513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172467202,0,0,0
EFJFCEGH_00545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.926457049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFJFCEGH_00773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97918593,0.052306595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690604277,0,0,0
EFJFCEGH_00774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.406356946,0.07173039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFJFCEGH_02181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.534462477,0.143042526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFJFCEGH_02465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.115355641,0.103291761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFJFCEGH_02466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.345706155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.686944823,0,0,0
EFJFCEGH_02467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.072368432,0.07812673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429794859,0,0,0
EFJFCEGH_02887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43445143,0.232371519,0,0.087404828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547857588,0,0,0
EFJFCEGH_02933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.155879695,0.197382245,0,0.029697548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFJFCEGH_03065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.373627335,0.096077519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140945782,0,0,0
EFJFCEGH_03066,0,0,0,0,0,0,0,0.052544922,0,0,0,0,0,0,0,2.75286008,0.364056292,0,0.147470703,0,0,0,0,0,0.113140915,0.046203049,0,0,0,0,0,0,0,0.369741331,0,0,0
CPIMFNMI_00191,0,0,0,0,2.452347305,0.559436497,0,0.031017083,0.100818331,0,0,0,0,0.055555795,0,0,0,0,0,0,0,0,0,0.402008135,0.450810127,5.263785152,0,0,0,0,0,0,0,0,0,0,0
HBLAFJNH_00283,0.987665952,0.944900623,0,0.031111501,0,0,0,0,0,0,0,0,0,0,0.132245504,0,0,0,0,0,0.614996214,0.301635631,0,0,0,0,0.061025485,0,7.040576966,0,0.477785772,0.078650578,0.091681312,0,0,0,0
HBLAFJNH_00947,0.743311122,0.862728937,0.179153865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857868775,0.448882168,0,0,0,0,0,0,7.597556095,0,0.50894193,0.314172529,0,0,0,0,0
HBLAFJNH_00948,0.960936749,0.40275356,0,0.1160332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873784708,0.264700656,0,0,0,0,0,0,6.781035625,0,0.475185577,0.146667278,0,0,0,0,0
HBLAFJNH_01385,0.618969587,2.334836131,0,0,0,0,0.147667118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783944872,0.438433762,0,0,0,0,0,0.065788282,8.284365009,0,0.459122966,0,0,0,0,0,0
HBLAFJNH_01386,0.724398472,0.986746222,0.283717707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.029217565,0.34920125,0,0,0,0,0,0,7.368688385,0,0.223885512,0.055282282,0.128882768,0,0,0,0
CELBLDHF_00444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.752421657,0.205115328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.715154603,0,0,0
CELBLDHF_01049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.200764783,0.462864024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111126607,0,0,0
CELBLDHF_01051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62177706,0.766618539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187438314,0,0,0
CELBLDHF_01052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.748267826,1.769119705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELBLDHF_01053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.674695464,0.533299853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELBLDHF_01054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.920140961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELBLDHF_01307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.442323107,1.6506311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.502985643,0,0,0
CELBLDHF_01803,0,0.157501392,0,0.163354002,0.096815201,0.189306524,0.083674105,0.018367658,0,0.188408449,0.158985696,0,0,0,0.038576003,2.184251615,0.264309025,0.123047792,0.206200057,0,0.017085176,0.010351422,0.132369197,0.183123603,0.029662243,0.064603147,0.160210162,0.074556553,0.022568525,0,0.334488172,0.022942367,0.053486863,0.452365092,0,0,0.060166272
CELBLDHF_01804,0.061429746,0.270341431,0,0.400552963,0.094958471,0.116047493,0.102586745,0,0,0.131996526,0.250612482,0.082769114,0.007933735,0.020167515,0,3.03376417,0.216033404,0.452579894,0.556175221,0,0.083787575,0.025382255,0.139104224,0.089805822,0.048488963,0.435628752,0.501967455,0.045704188,0.027669629,0,0,0,0.174870292,0.845123042,0,0,0.540946982
CELBLDHF_03642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.913893199,0.507554343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.233747628,0,0,0
CELBLDHF_03644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.193002623,2.146531909,0,0,0,0,0,0,0,0,0,0.046468364,0,0,0,0,0,0,0,0,0,0
CELBLDHF_03645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.739902908,0.669048907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELBLDHF_03940,0,0.045682695,0,0,0,0,0,0,0,0,0,0,0,0,0,2.613881915,0.425899188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249917752,0,0,0
DGEKEFLC_00925,0,0.186178532,0.132554544,0.796907257,0,0,0.070649362,0,0,0,0,0,0,0,0,0.012896854,0,0.034631376,0.017410288,0,0,0.804090671,0,0,0.016696671,0,0.030060397,0,1.524439964,1.106730649,0.345181976,0.774845995,2.288161272,0,0,0,0
DGEKEFLC_01318,0.267154046,0.167956804,0.627800885,0.774213008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331157416,0.100825899,0,0,0,0,0,1.143167798,0.755555277,0.693568737,0.366980252,0.855562205,0,0,0,0
DGEKEFLC_02238,0,0.123729934,0.616648727,0.427758754,0,0,0.164331745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609890226,0.074276132,0,0,0,0.069921049,0,1.374026961,1.600225812,0.437945328,1.171499134,2.030879981,0,0,0,0
DGEKEFLC_02386,0.173428732,0.218065463,0.271700199,0.753895263,0,0,0.217217514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895741169,0.065453277,0,0,0,0,0,1.093638283,1.042280156,0.257282799,1.508809233,1.049100985,0,0,0,0
DGEKEFLC_02387,0.129713225,0.081549275,0.40642757,0.516875161,0,0,0.595702577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044230838,0.616358758,0,0,0,0,0,0,1.489872343,1.146406832,0.6253992,0.831518616,1.430847259,0,0,0,0
DGEKEFLC_02388,0,0.259670058,0.776490568,0.718184435,0,0,0.275904352,0,0,0,0,0,0.117356646,0,0,0,0,0,0,0,0.112672239,0.716781512,0,0,0,0,0.088045321,0,1.265084586,1.460160281,0.367643578,1.286040446,0.705463572,0,0,0,0
DGEKEFLC_03485,0,0.205929646,0.256579492,0.889924191,0,0,0.182336789,0,0,0,0,0,0.010576014,0,0,0,0,0,0.022466841,0,0.018615413,0.597763133,0.082414213,0,0.032318948,0.052792006,0.019395491,0,1.930305534,1.042173529,0.425187791,1.099877046,1.262677553,0,0,0,0
BFJBJAKM_00384,0.123342241,0.504035398,0,0.536169126,0.071498692,0.271841441,0.102989837,0,0,0.132515176,0.251597207,0,0.07964909,0,0,0.094002613,0.096392115,0.504842448,0.710640746,0,0.630875993,0,0,0.180317386,0.146038469,0.23854934,0.569671103,0.045883772,4.444536162,0,0.137234342,0.112953974,0.219446756,0,0,0,0.394961826
